Producer,Model,Efficiency,Date
# Date is dd/mm/yyyy
# Efficiency is J/TH
# CPU
Intel,Pentium III mobile,113333333,19/03/2001
Intel,Pentium 4 2.0A,63882353,01/01/2002
Intel,Pentium 4 630,65116279,01/01/2002
Intel,Xeon Prestonia 2.4,60185185,01/10/2002
AMD,Athlon XP 2000+,112903226,01/07/2002
Intel,Xeon 2.8,92500000,01/10/2003
Intel,Pentium M 1.6,10563380,01/04/2004
AMD,Athlon 64 3500+,75423729,01/07/2004
AMD,Athlon 64 × 2 3800+,37572254,01/07/2004
AMD,Athlon 64 × 2 4000+,34210526,01/07/2004
AMD,Sempron 3000+,77500000,17/09/2004
AMD,Athlon 64 × 2 4400+,31100478,23/05/2006
Intel,Core 2 Duo T5500,8139535,28/08/2006
Intel,Xeon X5355,5272408,01/10/2006
AMD,Opteron 8220 × 16,3800000,01/02/2007
Intel,Core 2 Quad Q6600,9545455,01/01/2007
Intel,Xeon 5335,8556150,01/01/2007
AMD,Athlon 64×2 6000+,44483986,20/02/2007
Intel,Core 2 Duo T5450,14000000,01/04/2007
Intel,Core 2 Duo U7600,9090909,01/04/2007
Intel,Core 2 Duo E6550,26530612,01/07/2007
Intel,Core 2 Duo E6850,9629630,01/07/2007
Intel,Pentium Dual-Core E2180,14444444,01/07/2007
Intel,Xeon E7220,12698413,01/07/2007
Intel,Xeon E7320,106666667,01/07/2007
AMD,Athlon 64 × 2 6400+ Black Edition,43103448,20/08/2007
Intel,Core 2 Duo T7250,7777778,01/09/2007
Intel,Xeon E5410,8163265,01/10/2007
Intel,Core 2 Extreme X9000,6111111,01/01/2008
Intel,Core 2 Duo E8200,28260870,01/01/2008
Intel,Core 2 Duo E8400,9420290,01/01/2008
Intel,Core 2 Duo E8500,9027778,01/01/2008
Intel,Xeon E5440,10958904,01/01/2008
AMD,Phenom X4 9650,19387755,27/03/2008
Intel,Atom Z520,1666667,01/04/2008
Intel,Atom 230,4123711,01/04/2008
Intel,Atom N270,2100840,01/04/2008
Intel,Core 2 Quad Q9400,8636364,01/07/2008
Intel,Core 2 Quad Q9650,5088377,01/07/2008
Intel,Core 2 Duo T9400,8333333,01/07/2008
Intel,Xeon E7450,6000000,01/07/2008
Intel,Core 2 Duo E5200,11612903,01/07/2008
Intel,Core 2 Duo E7300,8376289,01/07/2008
AMD,Turion X2 RM-70,34210526,04/07/2008
AMD,Phenom X4 9650 Black Edition,25714286,01/10/2008
Intel,Core 2 Duo P8700,11016949,01/10/2008
Intel,Core i7 920,6770833,01/10/2008
Intel,Pentium Dual-Core E5400,28634361,01/01/2009
Intel,Celeron E3400,11016949,01/01/2009
Intel,Core 2 Duo T6400,8333333,01/01/2009
Intel,Core 2 Duo T7450,9459459,01/01/2009
Intel,Xeon E5506,8333333,01/01/2009
Intel,Xeon E5520,12307692,01/01/2009
Intel,Xeon E5530,11204482,01/01/2009
Intel,Atom N280,4798464,01/01/2009
AMD,Phenom II X3 720,13194444,09/02/2009
AMD,Phenom II X4 810,8260870,09/02/2009
AMD,Phenom II X4 955,11363636,01/04/2009
Intel,Core i7 950,6878307,01/04/2009
Intel,Celeron E3300,29545455,01/07/2009
Intel,Core 2 Quad Q8200,8715596,01/07/2009
Intel,Core i7 820QM,3260870,01/07/2009
AMD,Athlon II X2 250,11607143,02/07/2009
AMD,Phenom II X4 965,12727273,01/08/2009
AMD,Athlon II X4 630,6074766,16/09/2009
AMD,Athlon II X2 240e,16605166,20/10/2009
Intel,Xeon X5650,3321678,01/01/2010
Intel,Xeon X5680,5416667,01/01/2010
Intel,Core i7 980x,6770833,01/01/2010
Intel,Core i3 530,9626955,01/01/2010
Intel,Core i3 350M,23648649,01/01/2010
Intel,Core i5 650,14313725,01/01/2010
Intel,Core i5 750,6785714,01/01/2010
Intel,Core i7 620M,5555556,01/01/2010
Intel,Core i7 720QM,5696203,01/01/2010
Intel,Xeon E5620,6477733,01/01/2010
Intel,Xeon E5630,10000000,01/01/2010
Intel,Xeon E7520,10555556,01/01/2010
Intel,Xeon W3680,7222222,01/01/2010
Intel,Atom N450,3437500,01/01/2010
Intel,Atom D510,5652174,01/01/2010
AMD,Opteron 6174,2782609,29/03/2010
AMD,Opteron 6172,4181818,29/03/2010
AMD,Opteron 6128,7098765,29/03/2010
Intel,Core i5 450M,19444444,01/04/2010
AMD,Phenom II X6 1090 T,7833333,27/04/2010
AMD,Phenom II X6 1055 T,4025424,01/05/2010
Intel,Atom N550,4314721,01/07/2010
Intel,Atom 330,4314721,01/07/2010
AMD,Phenom II X6 1055 T,5868545,21/10/2010
AMD,Phenom II X6 1100T,5681818,07/12/2010
Intel,Core i5 2400,6785714,01/01/2011
Intel,Core i5 2400S,3915663,01/01/2011
Intel,Core i5 2500K,4611650,01/01/2011
Intel,Core i7 2600K,5107527,01/01/2011
Intel,Core i7 2600,3974895,01/01/2011
Intel,Core i7 990x,3903904,01/01/2011
Intel,Core i7 2635QM,15358362,01/01/2011
Intel,Core i7 3770k,18780488,01/01/2011
Intel,Xeon X5690,5000000,01/01/2011
AMD,Zacate E-350,9473684,04/01/2011
AMD,Ontario C-50,1451613,04/01/2011
AMD,A8-3850,1666667,30/06/2011
AMD,A8-3870K,1052632,30/06/2011
AMD,A4-3400,2801724,07/09/2011
Intel,Core i7 3930k,1951952,01/10/2011
Intel,Xeon E5-2690,4090909,01/01/2012
Intel,Xeon E3-1230 V2,3502538,01/04/2012
Intel,Xeon X5365,11538462,01/04/2012
AMD,A8-3850,952381,01/10/2012
Intel,Core i3 2100,7850242,01/07/2013
# FPGA
,X6500 FPGA Miner,43000,29/08/2011
,Icarus,50526,01/11/2011
,Lancelot,65000,01/05/2012
,ModMiner Quad,47619,4/05/2012
# GPU
Nvidia,8800GTX,5272727,08/11/2006
Nvidia,8800GTS,9166667,12/02/2007
Nvidia,8500GT,18750000,17/04/2007
Nvidia,8600GT,9893993,17/04/2007
Nvidia,8600M GT,4056795,01/05/2007
Nvidia,8400M GS,5500000,01/05/2007
Nvidia,8400 GS,17391304,15/06/2007
